,agency_cd,site_no,datetime,Dissolved oxygen_Mean,"Turbidity, water_Max",Temperature_Mean,Precipitation,"Turbidity, water_Mean",Temperature_Min,Temperature_Max,Dissolved oxygen_Min,Dissolved oxygen_Max,Gage height_Max,Gage height_Min,"Turbidity, water_Min",Gage height_Mean
136,USGS,02110400,2017-02-13,9.1,10.2,15.9,0.00,9.3,15.0,18.0,7.8,11.1,6.92,6.81,8.4,6.86
137,USGS,02110400,2017-02-14,9.7,12.2,12.7,0.00,9.6,11.0,15.3,8.7,11.9,6.85,6.78,8.3,6.81
138,USGS,02110400,2017-02-15,9.8,20.2,12.9,0.47,10.3,11.8,13.8,8.9,11.8,6.95,6.77,7.9,6.83
139,USGS,02110400,2017-02-16,10.0,23.0,11.2,0.00,16.1,9.2,13.0,9.0,11.3,6.95,6.88,12.6,6.92
140,USGS,02110400,2017-02-17,10.4,12.7,11.2,0.00,11.1,9.0,13.7,9.6,11.9,6.89,6.79,9.8,6.84
141,USGS,02110400,2017-02-18,10.3,10.3,12.0,0.00,9.0,10.1,14.6,9.2,11.9,6.79,6.68,8.4,6.74
142,USGS,02110400,2017-02-19,9.8,9.4,13.9,0.00,8.5,12.5,16.3,8.6,12.0,6.68,6.58,8.1,6.63
143,USGS,02110400,2017-02-20,9.2,10.2,14.5,0.00,8.9,12.8,16.4,8.1,11.8,6.59,6.52,8.3,6.55
144,USGS,02110400,2017-02-21,9.6,10.2,15.2,0.00,9.3,13.8,16.4,7.9,12.9,6.53,6.51,8.7,6.52
145,USGS,02110400,2017-02-22,9.5,9.3,15.7,0.00,8.4,14.6,17.3,7.4,12.9,6.57,6.53,7.6,6.55
146,USGS,02110400,2017-02-23,9.5,9.6,17.0,0.00,8.4,15.8,18.8,6.4,13.9,6.65,6.56,7.2,6.58
147,USGS,02110400,2017-02-24,9.9,13.1,17.6,0.00,6.4,15.2,20.0,7.9,13.0,6.70,6.65,3.4,6.68
