,agency_cd,site_no,datetime,Precipitation,Gage height_Max,Dissolved oxygen_Max,Temperature_Mean,Dissolved oxygen_Mean,Temperature_Min,Dissolved oxygen_Min,Temperature_Max,Gage height_Mean,Gage height_Min
213,USGS,02168504,2017-05-01,0.46,11.18,8.0,14.1,7.7,13.6,7.5,14.3,7.80,3.36
214,USGS,02168504,2017-05-02,0.00,3.72,8.1,14.1,7.9,13.7,7.7,14.7,3.43,3.07
215,USGS,02168504,2017-05-03,0.00,4.31,8.9,14.4,8.0,13.7,7.7,15.2,3.31,3.25
216,USGS,02168504,2017-05-04,0.62,3.31,8.2,14.0,7.9,13.5,7.6,14.8,3.28,3.26
217,USGS,02168504,2017-05-05,0.03,3.29,8.2,13.5,7.9,13.3,7.6,14.0,3.27,3.26
218,USGS,02168504,2017-05-06,0.23,3.30,8.3,13.6,7.9,13.3,7.7,14.1,3.28,3.26
219,USGS,02168504,2017-05-07,0.00,3.29,8.3,13.7,8.0,13.4,7.7,14.2,3.29,3.28
220,USGS,02168504,2017-05-08,0.00,3.29,8.3,13.7,7.9,13.4,7.7,14.2,3.29,3.28
221,USGS,02168504,2017-05-09,0.00,3.31,8.2,14.1,7.8,13.4,7.5,14.8,3.29,3.27
222,USGS,02168504,2017-05-10,0.00,7.34,8.2,14.3,7.6,14.2,7.3,14.8,5.41,3.27
223,USGS,02168504,2017-05-11,0.00,7.36,7.4,14.3,7.3,14.1,7.2,14.4,7.32,7.29
224,USGS,02168504,2017-05-12,0.23,7.34,8.1,14.4,7.4,14.0,7.2,14.7,5.43,3.29
225,USGS,02168504,2017-05-13,0.03,3.30,7.8,14.1,7.5,14.0,7.3,14.2,3.29,3.29
226,USGS,02168504,2017-05-14,0.00,3.31,7.9,14.4,7.5,14.0,7.2,15.0,3.30,3.29
227,USGS,02168504,2017-05-15,0.00,3.31,8.1,14.7,7.6,14.0,7.1,15.6,3.27,3.21
228,USGS,02168504,2017-05-16,0.00,3.24,8.0,14.7,7.5,14.1,7.0,15.7,3.23,3.21
229,USGS,02168504,2017-05-17,0.00,3.26,8.1,14.8,7.5,14.1,7.1,15.6,3.24,3.21
230,USGS,02168504,2017-05-18,0.00,3.59,11.2,15.2,9.3,14.1,7.1,16.4,3.40,3.21
231,USGS,02168504,2017-05-19,0.00,6.09,10.7,14.8,7.7,14.2,7.0,15.7,3.41,3.22
232,USGS,02168504,2017-05-20,0.00,10.81,7.7,14.8,7.0,14.2,6.7,15.6,6.20,3.22
233,USGS,02168504,2017-05-21,0.55,3.45,7.7,14.8,7.2,14.3,6.8,15.4,3.41,3.40
234,USGS,02168504,2017-05-22,0.47,5.58,7.1,14.2,6.6,14.1,6.3,14.5,4.92,3.41
235,USGS,02168504,2017-05-23,0.66,5.57,6.6,14.2,6.4,14.1,6.2,14.3,5.55,5.53
