STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160623,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160624,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160625,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160101,0.82, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160102,0.02, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160105,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160108,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160110,0.04, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160115,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160119,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160122,0.32, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160123,0.66, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160126,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160127,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160129,0.54, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160201,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160203,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160204,2.62, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160205,0.42, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160207,0.51, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160208,0.03, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160216,0.85, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0029,PINEVILLE 0.3 SSE SC US,23.5,33.4249,-80.0267,20160219,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
